,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Predicted
300,7500.0,0.0,75.0,360.0,Male,Yes,1,Graduate,Yes,1.0,Urban,0
301,6300.0,0.0,125.0,360.0,Male,Yes,1,Graduate,No,0.0,Urban,1
302,14987.0,0.0,177.0,360.0,Female,No,0,Graduate,Yes,1.0,Rural,0
303,570.0,2125.0,68.0,360.0,Male,Yes,1,Not Graduate,Yes,1.0,Rural,0
304,2600.0,700.0,96.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
305,2733.0,1083.0,180.0,360.0,Male,No,2,Not Graduate,No,1.0,Semiurban,0
306,7500.0,0.0,183.0,360.0,Male,Yes,2,Graduate,Yes,1.0,Rural,0
307,3859.0,0.0,121.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Rural,0
308,6825.0,0.0,162.0,360.0,Male,Yes,1,Graduate,No,1.0,Rural,0
309,3708.0,4700.0,132.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
310,5314.0,0.0,147.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
311,2366.0,5272.0,153.0,360.0,Female,No,3+,Graduate,No,0.0,Rural,1
312,2066.0,2108.0,104.0,84.0,Male,No,0,Graduate,No,1.0,Urban,0
313,5000.0,0.0,149.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
314,3767.0,0.0,134.0,300.0,Female,No,0,Graduate,No,1.0,Urban,0
315,7859.0,879.0,165.0,180.0,Female,Yes,0,Graduate,No,1.0,Semiurban,0
316,4283.0,0.0,120.0,360.0,Female,Yes,0,Graduate,No,1.0,Rural,0
317,1700.0,2900.0,67.0,360.0,Male,Yes,0,Not Graduate,No,0.0,Urban,1
318,4768.0,0.0,125.0,360.0,Male,No,0,Not Graduate,No,1.0,Rural,0
319,3083.0,2738.0,120.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
320,2667.0,1542.0,148.0,360.0,Male,Yes,1,Graduate,No,1.0,Rural,0
321,1647.0,1762.0,181.0,360.0,Female,Yes,0,Not Graduate,No,1.0,Urban,0
322,3400.0,0.0,80.0,120.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
323,16000.0,5000.0,40.0,360.0,Male,No,1,Graduate,No,1.0,Semiurban,0
324,5333.0,0.0,90.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
325,2875.0,2416.0,95.0,6.0,Male,No,0,Graduate,No,0.0,Semiurban,0
326,2600.0,618.0,122.0,360.0,Male,Yes,1,Not Graduate,No,1.0,Semiurban,0
327,5041.0,700.0,150.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
328,6958.0,1411.0,150.0,360.0,Male,Yes,3+,Graduate,Yes,1.0,Rural,0
329,3500.0,1658.0,104.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
330,5509.0,0.0,143.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
331,9699.0,0.0,300.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
332,3621.0,2717.0,171.0,360.0,Female,Yes,1,Not Graduate,No,1.0,Urban,0
333,4709.0,0.0,113.0,360.0,Female,Yes,0,Graduate,No,1.0,Semiurban,0
334,1516.0,1951.0,35.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
335,2400.0,0.0,46.0,360.0,Male,No,2,Graduate,No,1.0,Urban,0
336,3015.0,2000.0,145.0,360.0,Female,No,0,Not Graduate,No,1.0,Urban,0
337,2292.0,1558.0,119.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
338,2360.0,3355.0,87.0,240.0,Male,Yes,1,Graduate,Yes,1.0,Rural,0
339,4333.0,2333.0,162.0,360.0,Female,No,0,Graduate,No,0.0,Rural,1
340,2623.0,4831.0,122.0,180.0,Male,Yes,0,Graduate,Yes,1.0,Semiurban,0
341,3972.0,4275.0,187.0,360.0,Male,No,0,Graduate,Yes,1.0,Rural,0
342,3522.0,0.0,81.0,180.0,Male,Yes,3+,Not Graduate,No,1.0,Rural,0
343,4700.0,0.0,80.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
344,6858.0,0.0,176.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
345,8334.0,0.0,260.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
346,3391.0,1966.0,133.0,360.0,Male,Yes,0,Graduate,No,0.0,Rural,1
347,2868.0,0.0,70.0,360.0,Male,No,0,Not Graduate,No,1.0,Urban,0
348,3418.0,1380.0,135.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Urban,0
349,2500.0,296.0,137.0,300.0,Male,Yes,0,Graduate,Yes,1.0,Rural,0
350,8667.0,0.0,254.0,360.0,Male,Yes,2,Graduate,No,1.0,Rural,0
351,2283.0,15000.0,106.0,360.0,Male,No,0,Graduate,No,1.0,Rural,0
352,5817.0,910.0,109.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
353,5119.0,3769.0,120.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
354,5316.0,187.0,158.0,180.0,Male,Yes,3+,Not Graduate,No,0.0,Semiurban,1
355,7603.0,1213.0,197.0,360.0,Male,Yes,3+,Graduate,No,1.0,Urban,0
356,3791.0,1936.0,85.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
357,2500.0,0.0,60.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
358,3132.0,0.0,76.0,360.0,Male,Yes,2,Not Graduate,No,1.0,Rural,0
359,4000.0,2667.0,152.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
360,8550.0,4255.0,96.0,360.0,Female,Yes,0,Graduate,No,1.0,Urban,0
361,2269.0,2167.0,99.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
362,4009.0,1777.0,113.0,360.0,Male,Yes,3+,Not Graduate,Yes,1.0,Urban,0
363,4158.0,709.0,115.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
364,3250.0,1993.0,126.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
365,5000.0,2393.0,158.0,360.0,Male,Yes,0,Graduate,No,1.0,Rural,0
366,9200.0,0.0,98.0,180.0,Male,No,0,Graduate,Yes,1.0,Rural,0
